ABCG5	GO:0007584;GO:0009410;GO:0010212;GO:0010949;GO:0014850;GO:0015918;GO:0030299;GO:0033344;GO:0038183;GO:0042632;GO:0045796;GO:0070328;GO:0120009;GO:0055085
ABCG8	GO:0007584;GO:0009410;GO:0010949;GO:0014850;GO:0015914;GO:0015918;GO:0030299;GO:0033344;GO:0038183;GO:0042632;GO:0045796;GO:0070328;GO:0120009;GO:0055085
ABCP	GO:0006869;GO:0015711;GO:0015747;GO:0015878;GO:0032218;GO:0046415;GO:0055085;GO:0070633;GO:0097744;GO:0140115;GO:0150104;GO:1990748;GO:1990962
ABCR	GO:0001523;GO:0006649;GO:0007601;GO:0007603;GO:0034633;GO:0042574;GO:0045332;GO:0045494;GO:0055085;GO:0006869
ABF1	GO:0000122;GO:0003161;GO:0006355;GO:0014707;GO:0060021;GO:0060539;GO:1990830;GO:0007519;GO:0006357
ABH	GO:0001701;GO:0001764;GO:0001890;GO:0002101;GO:0006281;GO:0006307;GO:0006446;GO:0006448;GO:0031175;GO:0035513;GO:0042245;GO:0043524;GO:0048589;GO:0050918;GO:0070129;GO:0070989;GO:0080111;GO:1990983;GO:0035552
ABH1	GO:0001701;GO:0001764;GO:0001890;GO:0002101;GO:0006281;GO:0006307;GO:0006446;GO:0006448;GO:0031175;GO:0035513;GO:0042245;GO:0043524;GO:0048589;GO:0050918;GO:0070129;GO:0070989;GO:0080111;GO:1990983;GO:0035552
ABH2	GO:0006307;GO:0070989;GO:0080111
ABH3	GO:0006281;GO:0006307;GO:0008283;GO:0035552;GO:0035553
ABH4	GO:0006325;GO:0006482;GO:0031032;GO:0036090;GO:0080111;GO:1902275;GO:0070989
ABH5	GO:0001666;GO:0006397;GO:0006406;GO:0007283;GO:0030154;GO:0035553;GO:0043488
ABH7	GO:0006631;GO:0006974;GO:0010883;GO:1902445
ABH8	GO:0002098;GO:0006974;GO:0030488
ABHD1	GO:0008150;GO:0051792;GO:0051793
ABHD10	GO:0002084;GO:0019391;GO:0052695
ABHD11	GO:0008150;GO:0044255
