A0A0G2JPB7	GO:0005102;GO:0005102
ABTB2	GO:0003674;GO:0046982
ABTB3	GO:0046982;GO:0046982
ACAA1	GO:0003985;GO:0003985;GO:0003985;GO:0003988;GO:0003988;GO:0003988;GO:0005515;GO:0005515;GO:0005515;GO:0008775;GO:0008775;GO:0008775;GO:0016401;GO:0016401;GO:0016401;GO:0050633;GO:0050633;GO:0050633
ACAA2	GO:0003723;GO:0003985;GO:0003986;GO:0003988;GO:0005515;GO:0016290;GO:0047617;GO:0102991
ACACA	GO:0003989;GO:0003989;GO:0003989;GO:0003989;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0042802;GO:0042802;GO:0042802;GO:0042802;GO:0046872;GO:0046872;GO:0046872;GO:0046872
ACACB	GO:0003989;GO:0003989;GO:0003989;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0009374;GO:0009374;GO:0009374;GO:0042802;GO:0042802;GO:0042802;GO:0046872;GO:0046872;GO:0046872
ACAD10	GO:0003995;GO:0050660
ACAD11	GO:0003995;GO:0004466;GO:0005515;GO:0017099;GO:0050660;GO:0070991
ACAD8	GO:0003995;GO:0003995;GO:0003995;GO:0050660;GO:0050660;GO:0050660
ACAD9	GO:0004466;GO:0005515;GO:0050660;GO:0070991;GO:0003995
ACADL	GO:0000062;GO:0004466;GO:0005515;GO:0016401;GO:0042802;GO:0050660
ACADM	GO:0003995;GO:0042802;GO:0050660;GO:0070991
ACADS	GO:0003995;GO:0004085;GO:0016937;GO:0050660
ACADSB	GO:0003853;GO:0016937;GO:0042802;GO:0050660;GO:0102035;GO:0003995
ACADVL	GO:0003995;GO:0003995;GO:0004466;GO:0004466;GO:0005515;GO:0005515;GO:0017099;GO:0017099;GO:0042802;GO:0042802;GO:0050660;GO:0050660;GO:0000062;GO:0000062
ACAN	GO:0005201;GO:0005201;GO:0005201;GO:0005201;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005540;GO:0005540;GO:0005540;GO:0005540;GO:0030021;GO:0030021;GO:0030021;GO:0030021;GO:0030246;GO:0030246;GO:0030246;GO:0030246;GO:0046872;GO:0046872;GO:0046872;GO:0046872
ACAP1	GO:0005096;GO:0005096;GO:0005096;GO:0005515;GO:0005515;GO:0005515;GO:0046872;GO:0046872;GO:0046872
ACAP2	GO:0005096;GO:0005096;GO:0005096;GO:0046872;GO:0046872;GO:0046872
ACAP3	GO:0005096;GO:0005096;GO:0005096;GO:0046872;GO:0046872;GO:0046872
ACAT1	GO:0003985;GO:0003985;GO:0003985;GO:0016453;GO:0016453;GO:0016453;GO:0019899;GO:0019899;GO:0019899;GO:0030955;GO:0030955;GO:0030955;GO:0042802;GO:0042802;GO:0042802;GO:0120225;GO:0120225;GO:0120225
ACAT2	GO:0003985;GO:0003985;GO:0005515;GO:0005515
