ACAM	GO:0005881;GO:0005886;GO:0005923;GO:0009986
ACAN	GO:0062023;GO:0005576;GO:0005796;GO:0043202
ACAP1	GO:0016020;GO:0055038
ACAP2	GO:0001726;GO:0010008;GO:0016020
ACAP3	GO:0030426
ACAS2	GO:0005737;GO:0005759;GO:0005829
ACAS2L	GO:0005759;GO:0005739
ACAT	GO:0005739;GO:0005759;GO:0070062;GO:0005783;GO:0005789;GO:0016020
ACAT1	GO:0005739;GO:0005759;GO:0070062;GO:0005783;GO:0005789;GO:0016020
ACAT2	GO:0005783;GO:0005789;GO:0005903;GO:0005737;GO:0005829;GO:0070062;GO:0005739
ACATN	GO:0000139;GO:0005789;GO:0005886;GO:0016020
ACBD3	GO:0000139;GO:0005739;GO:0005794;GO:0016020
ACBD4	GO:0005737
ACBD5	GO:0005654;GO:0005777;GO:0005778;GO:0005829;GO:0016020;GO:0005737
ACBD6	GO:0005829
ACBP	GO:0005576;GO:0005576;GO:0070062;GO:0072562;GO:0005615;GO:0005615;GO:0031012
ACC1	GO:0001650;GO:0005829;GO:0015629;GO:0005739
ACC2	GO:0005634;GO:0005739;GO:0005741;GO:0005829
ACCA	GO:0001650;GO:0005829;GO:0015629;GO:0005739
ACCB	GO:0005634;GO:0005739;GO:0005741;GO:0005829
ACCN	GO:0005886;GO:0043025;GO:0043197
ACCN1	GO:0005886;GO:0043025;GO:0043197
ACCN2	GO:0005794;GO:0005886;GO:0009986;GO:0098793
ACCN3	GO:0005886;GO:0048471
ACCN4	GO:0005886
ACCN5	GO:0005886
ACD	GO:0000781;GO:0005654;GO:0016604;GO:0070187;GO:0000783;GO:0005697
ACDC	GO:0005576;GO:0005615;GO:0005783;GO:0009986;GO:0005581;GO:0062023
ACDP1	GO:0005886
ACDP2	GO:0016323;GO:0043231;GO:0005886
ACDP3	GO:0016020;GO:0005886
ACDP4	GO:0016323;GO:0032991;GO:0005886
ACE	GO:0005576;GO:0005615;GO:0005764;GO:0005768;GO:0005886;GO:0009897;GO:0009925;GO:0031526;GO:0070062;GO:0097225
ACE2	GO:0005576;GO:0005615;GO:0005788;GO:0005886;GO:0005929;GO:0009986;GO:0030666;GO:0045121;GO:0070062;GO:0016324;GO:0031526
ACER1	GO:0005783;GO:0005789
ACER2	GO:0000139;GO:0005794
ACER3	GO:0000139;GO:0005789;GO:0016020
ACF	GO:0005634;GO:0005654;GO:0005737;GO:0005783;GO:0045293;GO:0030895
ACF1	GO:0005634;GO:0005721;GO:0008623;GO:0016590;GO:0000228
ACF7	GO:0005737;GO:0005794;GO:0005856;GO:0005874;GO:0005886;GO:0032587;GO:0005882;GO:0016020;GO:0015629
ACGNAT	GO:0005739;GO:0005759
ACHAP	GO:0016020;GO:0070062
ACHE	GO:0005576;GO:0005604;GO:0005615;GO:0005634;GO:0005794;GO:0005886;GO:0009986;GO:0016020;GO:0031594;GO:0043083;GO:0045202;GO:0048471
ACHRA	GO:0031594;GO:0005886;GO:0009986;GO:0045211;GO:0099634;GO:0005892;GO:0043005;GO:0045202
ACHRB	GO:0031594;GO:0005886;GO:0045202;GO:0099634;GO:0005892;GO:0043005
ACHRD	GO:0031594;GO:0005654;GO:0005829;GO:0005886;GO:0005892;GO:0045211;GO:0099634;GO:0045202;GO:0043005
ACHRE	GO:0031594;GO:0005886;GO:0045211;GO:0005892;GO:0043005;GO:0045202
ACHRG	GO:0005886;GO:0045211;GO:0045202;GO:0043005
ACID1	GO:0005634;GO:0005654;GO:0070847;GO:0016592;GO:0005667
ACID2	GO:0005654;GO:0005886;GO:0048471;GO:0005667
ACIN1	GO:0005634;GO:0005654;GO:0005829;GO:0005886;GO:0016607;GO:0061574
ACINUS	GO:0005634;GO:0005654;GO:0005829;GO:0005886;GO:0016607;GO:0061574
ACK1	GO:0005634;GO:0005737;GO:0005768;GO:0005829;GO:0005886;GO:0005905;GO:0005912;GO:0016020;GO:0030136;GO:0030659;GO:0043231;GO:0048471;GO:0097268;GO:0070436
ACKR1	GO:0005769;GO:0005886;GO:0055037
ACKR2	GO:0005654;GO:0005769;GO:0005829;GO:0005884;GO:0005886;GO:0031965;GO:0043231;GO:0055037
ACKR3	GO:0005634;GO:0005768;GO:0005769;GO:0005886;GO:0005905;GO:0009986;GO:0043231;GO:0055037
ACKR4	GO:0005769;GO:0005886;GO:0055037
ACLP	GO:0062023;GO:0005576;GO:0005615;GO:0005634;GO:0005737;GO:0070062
ACLY	GO:0005576;GO:0005654;GO:0005829;GO:0016020;GO:0035578;GO:0070062;GO:1904813
ACMSD	GO:0005829;GO:0005737
ACN9	GO:0005758;GO:0005759
ACO1	GO:0005737;GO:0005739;GO:0005783;GO:0005794;GO:0005829;GO:0070062
ACO2	GO:0005739;GO:0005759;GO:0005829
ACOD1	GO:0005739
ACOD4	GO:0005789
ACOT1	GO:0005829
ACOT11	GO:0005759;GO:0005829;GO:0070062
ACOT12	GO:0005654;GO:0005829;GO:0045171
ACOT13	GO:0005634;GO:0005759;GO:0005819;GO:0005829
ACOT15	GO:0005759
ACOT2	GO:0005739;GO:0005759;GO:0005782;GO:0005829
ACOT4	GO:0005777;GO:0005782;GO:0005829
ACOT6	GO:0005782;GO:0005829
ACOT7	GO:0005654;GO:0005739;GO:0005829;GO:0070062
ACOT7L	GO:0005829;GO:0005654
ACOT8	GO:0005782;GO:0005829
ACOT9	GO:0005739;GO:0005759
ACOX	GO:0005777;GO:0005778;GO:0005782;GO:0005829;GO:0016020
ACOX1	GO:0005777;GO:0005778;GO:0005782;GO:0005829;GO:0016020
ACOX2	GO:0005777;GO:0005782;GO:0005829;GO:0043231
ACOX3	GO:0005777;GO:0005782;GO:0005829;GO:0016020
ACOXL	GO:0005575;GO:0005782;GO:0005777
ACP1	GO:0005737;GO:0005829;GO:0009898;GO:0042383;GO:0070062
ACP2	GO:0005764;GO:0005765;GO:0016020;GO:0043202;GO:0070062
ACP3	GO:0005615;GO:0005634;GO:0005765;GO:0005829;GO:0005886;GO:0012506;GO:0030175;GO:0035577;GO:0070062;GO:0005764
ACP33	GO:0005794;GO:0005829;GO:0010008;GO:0030140;GO:0043231
ACP4	GO:0045211;GO:0005764
ACP5	GO:0005764;GO:0005829;GO:0016020
ACP6	GO:0005737;GO:0005739;GO:0005759
ACP7	GO:0005576
ACPL1	GO:0005737;GO:0005739;GO:0005759
ACPL2	GO:0000139;GO:0005794
ACPP	GO:0005615;GO:0005634;GO:0005765;GO:0005829;GO:0005886;GO:0012506;GO:0030175;GO:0035577;GO:0070062;GO:0005764
ACPT	GO:0045211;GO:0005764
ACR	GO:0005576;GO:0005634;GO:0005798;GO:0043159;GO:0032991
